;FP1;Fz;F3;F7;FT9;FC5;FC1;C3;T7;TP9;CP5;CP1;Pz;P3;P7;O1;Oz;O2;P4;P8;TP10;CP6;CP2;Cz;C4;T8;FT10;FC6;FC2;F4;F8;FP2;FCz;FCU;FCR;FPL;TE;DI1;HTE
Part 1;0,155947;0,236109;0,245526;0,149919;0,173691;0,336273;0,231871;0,241728;0,386938;0,251709;0,199311;0,24122;0,270766;0,260353;0,280662;0,132434;0,211692;0,159729;0,398978;0,356614;0,424606;0,330206;0,356891;0,311094;0,361141;0,232171;0,126348;0,191839;0,274783;0,2802;0,081632;0,112586;0,282699;2,081917879;2,889810921;2,549510696;5,716703457;0,53125474;6,58296116
Part 2;0,094847;0,111815;0,137369;0,117447;0,204837;0,129348;0,105145;0,12186;0,081184;0,764156;0,229377;0,103257;0,1171;0,169391;0,327732;0,782493;0,479028;0,296914;0,122709;0,115595;0,603562;0,294235;0,104983;0,094111;0,136325;0,973746;0,228324;0,159195;0,099273;0,116038;0,179881;0,138175;0,098672;1,850846007;6,034811945;6,728594634;0,487524805;2,998179239;2,522888313
Part 3;0,083982;0,16036;0,170221;0,139293;0,162188;0,195542;0,156453;0,147488;0,258459;0,228557;0,180984;0,167015;0,25873;0,28399;0,442863;0,62175;0,532843;0,172813;0,188179;0,229317;0,655217;0,142922;0,170655;0,17017;0,126545;0,310696;0,166658;0,144582;0,164206;0,138443;0,154962;0,10844;0,178404;4,047471415;4,11146255;4,669822145;7,110298983;4,538896654;7,313925976
Part 4;1,399506;0,22565;0,531681;1,143523;0,519489;0,25786;0,199198;0,135917;0,524356;0,711493;0,158505;0,129951;0,14361;0,142818;0,344518;0,312005;0,253951;0,318063;0,17354;0,616853;0,425869;0,209144;0,13475;0,173306;0,171403;0,915159;0,42722;0,661861;0,226859;0,506488;0,240714;0,503545;0,197508;1,200831324;2,294472939;2,252173606;0,30556111;1,04535228;3,635219776
Part 5;1,437746;0,217564;0,71448;0,328417;0,191694;0,137399;0,19691;0,141167;0,08834;0,597629;0,133702;0,148933;0,193758;0,159993;0,175757;0,093382;0,092772;0,405359;0,187268;0,487686;0,139342;0,247738;0,160064;0,209449;0,210726;0,594273;0,202643;0,504591;0,232901;0,590707;0,571957;0,503699;0,226701;0,903101182;2,553806864;2,143812957;3,427342877;0,692675078;0,771929466
Part 6;0,616511;0,228425;0,84932;0,428694;0,170536;0,460084;0,239398;0,189199;0,371744;0,103657;0,319844;0,12699;0,125013;0,172576;0,366029;0,102576;0,077547;0,17426;0,169237;0,162397;0,143482;0,217126;0,133332;0,195206;0,187277;0,181318;0,153628;0,299914;0,162059;0,146406;0,493453;0,567179;0,20642;0,983675621;2,496076461;2,003337954;4,955804589;2,37091418;4,181452291
Part 7;0,314268;0,296833;0,838862;0,22933;0,256335;0,568358;0,322231;0,267012;0,447641;0,307799;0,378978;0,242867;0,306406;0,287065;0,477265;0,225371;0,192636;0,173151;0,346818;0,852481;0,595917;0,349772;0,26218;0,263272;0,306182;0,35191;0,204005;0,488163;0,318184;0,621684;0,30004;0,359102;0,320624;0,288790095;0,590656773;0,859292669;0,663552898;0,506142682;0,358544431
Part 8;0,281435;0,202242;0,402755;0,21653;0,221842;0,287258;0,190067;0,209173;0,552848;0,439178;0,280825;0,190749;0,233653;0,319559;0,829248;0,51382;0,400625;0,45666;0,202289;0,445958;0,267898;0,21402;0,168832;0,176118;0,208346;0,306219;0,343102;0,41878;0,19664;0,234529;0,222972;0,167998;0,204487;1,785298451;6,28548831;3,960684697;4,943343076;1,987876324;2,392092681
Part 9;0,174673;0,254678;0,225865;0,123762;0,395241;0,210125;0,29544;0,2144;0,426266;0,799622;0,268969;0,218255;0,44202;0,273646;0,186346;0,120309;0,178005;0,185088;0,486054;0,886674;0,126138;0,268436;0,205162;0,497908;0,206487;0,213133;0,164143;0,168562;0,225029;0,21582;0,064981;0,159417;0,411695;3,414249162;4,683233154;4,320828199;5,140135415;1,544493019;8,985803052
Part 10;0,10241;0,145781;0,144054;0,112275;0,100087;0,277412;0,174246;0,11576;0,204002;0,243643;0,157679;0,107252;0,127943;0,148737;0,478207;0,113843;0,070841;0,115355;0,167621;0,435324;0,391647;0,204352;0,113235;0,143716;0,116475;0,178919;0,12915;0,341735;0,127432;0,131198;0,185787;0,065711;0,191538;1,238950708;3,552421029;2,791594953;5,291514196;1,054816025;4,927947516
