;FP1;Fz;F3;F7;FT9;FC5;FC1;C3;T7;TP9;CP5;CP1;Pz;P3;P7;O1;Oz;O2;P4;P8;TP10;CP6;CP2;Cz;C4;T8;FT10;FC6;FC2;F4;F8;FP2;FCz;FCU;FCR;FPL;TE;DI1;HTE
Part 1;0,10262;0,188533;0,167025;0,10158;0,166628;0,311083;0,201901;0,248087;0,173646;0,425721;0,345304;0,224564;0,271445;0,341235;0,709032;1,101899;0,280563;0,72305;0,699409;0,753915;0,581233;1,001865;0,337709;0,248244;0,386315;0,266017;0,079346;0,239879;0,226506;0,204632;0,091702;0,074668;0,215165;5,015562601;5,809697362;4,272695131;2,023590508;0,814481826;10,1863512
Part 2;0,128708;0,125838;0,132371;0,211119;0,300524;0,220932;0,142221;0,186332;0,153103;0,863988;0,319174;0,111877;0,109948;0,163158;0,301662;0,570522;0,379442;0,254819;0,18452;1,138407;0,224746;0,482285;0,124654;0,114261;0,178014;0,490739;0,275993;0,130378;0,126227;0,121162;0,162925;0,1183;0,124004;3,772071242;9,669684689;8,550641627;2,623262219;2,091373924;4,606031154
Part 3;0,083173;0,200801;0,195651;0,153403;0,197494;0,198928;0,179596;0,149298;0,294532;0,323843;0,206457;0,175234;0,259803;0,259875;0,230992;0,324474;0,289967;0,46262;0,21907;0,279462;0,339476;0,184804;0,19928;0,191511;0,175777;0,494569;0,155868;0,162598;0,20688;0,178459;0,225897;0,166467;0,220775;6,274396138;5,903904811;8,081533444;8,512338908;5,526157553;10,68529455
Part 4;0,321813;0,223815;0,35086;0,320476;0,229123;0,164644;0,210277;0,11601;0,380711;0,424909;0,116175;0,118346;0,133998;0,119641;0,295927;0,347567;0,332207;0,434739;0,184458;0,75536;0,42507;0,22512;0,131722;0,183284;0,185957;0,143708;0,307879;0,506564;0,241985;0,388228;0,572358;0,511412;0,209866;2,576919017;7,875954435;7,568709391;0,859879692;1,932012555;7,947006197
Part 5;0,7736;0,099292;0,309197;0,825416;0,239394;0,402931;0,087304;0,12483;0,106398;0,312468;0,116091;0,088767;0,138152;0,153967;0,332433;0,099077;0,104201;0,879254;0,213585;0,152485;0,156211;0,275475;0,077335;0,086318;0,114721;0,120335;0,150832;0,279732;0,060796;0,28764;0,435798;0,323556;0,059958;3,402720363;5,657941743;5,255847277;6,922844888;0,62248358;1,633748063
Part 6;0,174351;0,171071;0,359692;0,26823;0,162303;0,158888;0,176245;0,187467;0,221563;0,173489;0,360686;0,157141;0,174795;0,252115;0,468688;0,321812;0,457691;0,291966;0,174335;0,557364;1,187957;0,286774;0,144293;0,3187;0,240027;0,227243;0,30383;0,323727;0,17295;0,346411;0,160226;0,126081;0,190544;1,973800645;4,501106867;4,503497489;3,34296075;4,270448135;6,694398384
Part 7;0,190066;0,256864;0,295527;0,25157;0,187374;0,62057;0,277176;0,267262;0,300628;0,268277;0,303389;0,219672;0,307079;0,26305;0,350638;0,210147;0,415097;0,718203;0,390686;0,763466;0,496376;0,331283;0,233185;0,221731;0,257421;0,248134;0,18458;0,254333;0,23336;0,403836;0,246103;0,204026;0,267352;1,105535204;2,894032513;3,297861872;6,029617476;0,629314876;3,308182818
Part 8;0,286104;0,251245;0,640567;0,234766;0,41979;0,506793;0,233374;0,288977;0,823761;0,665984;0,3921;0,197926;0,222606;0,31453;0,423389;0,627866;0,443062;0,497043;0,25182;0,758087;0,451214;0,421831;0,187047;0,185362;0,259816;0,90311;0,470442;0,271008;0,22066;0,339933;0,458227;0,195809;0,23104;3,334155682;10,09613157;9,924738644;6,673229288;2,655764584;5,63834619
Part 9;0,278213;0,299644;0,259965;0,142457;0,436958;0,210554;0,274784;0,182891;0,405976;1,099994;0,164951;0,191102;0,43896;0,306522;0,383554;0,184847;0,277218;0,323159;0,706966;1,626027;0,218471;0,381622;0,238492;0,320673;0,228826;0,339788;0,282888;0,279988;0,263233;0,364476;0,133188;0,325254;0,346665;4,963445277;7,30664383;7,790757671;10,14678382;3,877494187;17,37254327
Part 10;0,108395;0,110014;0,095692;0,074551;0,098573;0,169733;0,13346;0,106905;0,206601;0,264459;0,173196;0,09771;0,118838;0,154646;0,515949;0,153324;0,066129;0,091802;0,164771;0,36198;0,338549;0,214139;0,086763;0,118495;0,098702;0,200967;0,140309;0,31363;0,097054;0,100076;0,165358;0,097084;0,151494;2,8921401;7,958810352;4,421526739;2,649407715;1,611569809;8,760094393
Part 11;0,460191;0,267344;0,729468;0,468849;0,249542;0,353676;0,23995;0,203661;0,575298;0,513749;0,651338;0,185799;0,213625;0,403726;0,250262;0,27249;0,226959;0,571515;0,591731;0,452293;0,498164;0,867744;0,20639;0,35502;0,277208;0,702021;0,27935;1,015322;0,222516;1,224956;0,371256;0,209307;0,289857;2,427416464;4,518920678;6,992031285;2,716180289;1,259251626;4,780653946
Part 12;0,366284;0,197607;0,232025;0,110776;0,265208;0,237039;0,185893;0,159039;0,145092;0,277268;0,260405;0,16613;0,184607;0,098326;0,092731;0,088641;0,127608;0,07284;0,228037;0,11884;0,076715;0,45111;0,17342;0,219575;0,180183;0,212601;0,118587;0,302435;0,18487;0,179478;0,064158;0,125131;0,203015;6,617770322;6,351380706;4,382272348;5,113768179;4,039042117;11,12993966
Part 13;0,392412;0,109353;0,21628;0,210561;0,11408;0,098999;0,157749;0,146698;0,379119;0,605954;0,225633;0,204291;0,304582;0,310764;0,113225;0,225959;0,336557;0,739254;0,31599;0,660901;0,588602;0,183269;0,300761;0,282925;0,098588;0,84232;0,2298;0,177862;0,213809;0,238547;0,247774;0,386689;0,174308;4,359026261;10,56819953;7,303436108;7,889129297;5,385877983;10,25215047
